1	1	-1	500	0	9.7
2	-1	1	500	0	9.7
3	1	-1	400	0	7.8
4	-1	1	400	0	7.8
5	1	-1	400	0       7.8
6	-1	1	400	0	7.8
7	1	2	911	72	17.7
8	2	1	911	72	17.7
9	2	-1	500	0	13.6
10	-1	2	500	0	13.6
11	2	3	720	58	14.0
12	3	2	720	58	14.0
13	3	-1	500	0	13.6
14	-1	3	500	0	13.6
15	3	4	1835	146	35.7
16	4	3	1835	146	35.7
17	4	-1	400	0	9.1
18	-1	4	400	0	9.1
19	4	-1	400	0	9.1
20	-1	4	400	0	9.1
21	4	5	1980	158	38.6
22	5	4	1980	158	38.6
23	5	-1	500	0	13.6
24	-1	5	500	0	13.6
25	5	-1	500	0	13.6
26	-1	5	500	0	13.6
27	5	6	520	42	10.1
28	6	5	520	42	10.1
29	6	-1	500	0	13.6
30	-1	6	500	0	13.6
31	6	7	450	36	8.8
32	7	6	450	36	8.8
33	7	-1	500	0	11.4
34	-1	7	500	0	11.4
35	7	-1	500	0	11.4
36	-1	7	500	0	11.4
37	7	8	977	78	19.0
38	8	7	977	78	19.0
39	8	-1	500	0	13.6
40	-1	8	500	0	13.6
41	8	-1	400	0	10.9
42	-1	8	400	0	10.9
43	8	9	1300	104	25.3
44	9	8	1300	104	25.3
45	9	-1	500	0	13.6
46	-1	9	500	0	13.6
47	9	-1	500	0	13.6
48	-1	9	500	0	13.6
49      9	10	1983	158	38.6
50	10	9	1983	158	38.6
51	10	-1	208	0	4.1
52	-1	10	208	0	4.1
53	10	-1	500	0	11.4
54	-1	10	500	0	11.4
55	10	-1	500	0	11.4
56	-1	10	500	0	11.4
